"","Height","Mu","Sigma","Lambda","Sex"
"343",48.42,3.7303643888431,0.208730041620692,0.332412538612461,"Male"
"344",48.43,3.73187270442944,0.208731387442755,0.332558836955127,"Male"
"345",48.44,3.73338197042655,0.208732697828279,0.332705165165622,"Male"
"346",48.45,3.73489218764253,0.20873397273507,0.332851523246102,"Male"
"347",48.46,3.73640335688605,0.208735212120925,0.332997911198719,"Male"
"348",48.47,3.73791547896633,0.208736415943629,0.333144329025628,"Male"
"349",48.48,3.73942855469332,0.208737584160959,0.333290776728966,"Male"
"350",48.49,3.74094258487718,0.20873871673068,0.333437254310914,"Male"
"351",48.5,3.74245757032901,0.208739813610549,0.333583761773603,"Male"
"352",48.51,3.74397351186024,0.208740874758313,0.333730299119196,"Male"
"353",48.52,3.74549041028278,0.208741900131708,0.333876866349868,"Male"
"354",48.53,3.74700826640927,0.20874288968846,0.334023463467769,"Male"
"355",48.54,3.74852708105284,0.208743843386287,0.334170090475065,"Male"
"356",48.55,3.75004685502709,0.208744761182895,0.334316747373928,"Male"
"357",48.56,3.75156758914636,0.208745643035983,0.334463434166512,"Male"
"358",48.57,3.75308928422543,0.208746488903239,0.334610150854988,"Male"
"359",48.58,3.75461194107949,0.208747298742342,0.334756897441541,"Male"
"360",48.59,3.75613556052462,0.20874807251096,0.334903673928324,"Male"
"361",48.6,3.7576601433771,0.208748810166755,0.335050480317528,"Male"
"362",48.61,3.75918569045406,0.208749511667377,0.335197316611313,"Male"
"363",48.62,3.76071220257299,0.208750176970467,0.335344182811865,"Male"
"364",48.63,3.76223968055201,0.208750806033658,0.335491078921363,"Male"
"365",48.64,3.76376812520976,0.208751398814573,0.335638004941989,"Male"
"366",48.65,3.76529753736549,0.208751955270826,0.335784960875922,"Male"
"367",48.66,3.76682791783895,0.208752475360024,0.335931946725352,"Male"
"368",48.67,3.76835926745054,0.208752959039762,0.336078962492453,"Male"
"369",48.68,3.76989158702104,0.208753406267627,0.336226008179428,"Male"
"370",48.69,3.77142487737201,0.2087538170012,0.336373083788451,"Male"
"371",48.7,3.77295913932536,0.208754191198049,0.336520189321726,"Male"
"372",48.71,3.77449437370366,0.208754528815737,0.336667324781443,"Male"
"373",48.72,3.77603058133006,0.208754829811815,0.336814490169792,"Male"
"374",48.73,3.77756776302818,0.20875509414383,0.336961685488976,"Male"
"375",48.74,3.77910591962234,0.208755321769316,0.337108910741182,"Male"
"376",48.75,3.78064505193725,0.208755512645801,0.337256165928618,"Male"
"377",48.76,3.78218516079824,0.208755666730805,0.33740345105349,"Male"
"378",48.77,3.78372624703121,0.208755783981837,0.337550766117999,"Male"
"379",48.78,3.78526831146274,0.208755864356402,0.337698111124336,"Male"
"380",48.79,3.78681135491963,0.208755907811993,0.337845486074734,"Male"
"381",48.8,3.78835537822967,0.208755914306098,0.337992890971375,"Male"
"382",48.81,3.7899003822209,0.208755883796194,0.338140325816482,"Male"
"383",48.82,3.791446367722,0.208755816239753,0.338287790612269,"Male"
"384",48.83,3.79299333556222,0.208755711594236,0.338435285360949,"Male"
"385",48.84,3.79454128657139,0.2087555698171,0.338582810064735,"Male"
